;Format
CSV1
;Anatomy
8,1
;Training set
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,0.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,1.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,0.0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,1.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,0.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0
