;Format
CSV1
;Anatomy
2,15,1
;Training set
0.305076,0.604261,,0.221056
0.343182,0.292377,,0.260191
0.313417,0.719041,,0.287736
0.622303,0.953995,,0.470180
0.484185,0.661882,,0.162653
0.409447,0.324031,,0.197902
0.423960,0.093247,,0.413799
0.107373,0.369635,,0.413704
0.573392,0.463670,,0.081892
0.203626,0.843219,,0.453472
0.165890,0.960794,,0.569175
0.824969,0.763625,,0.418453
0.933075,0.030004,,0.639102
0.355123,0.909762,,0.434620
0.268687,0.880243,,0.445074
0.783451,0.573763,,0.292891
0.484504,0.126633,,0.373689
0.866139,0.797922,,0.472033
0.845673,0.488442,,0.345867
0.751916,0.329859,,0.303990
0.150324,0.161364,,0.486773
0.653889,0.574284,,0.170880
0.254611,0.761262,,0.358432
0.943919,0.828003,,0.551951
0.224932,0.147545,,0.447087
0.671222,0.390822,,0.203069
0.108339,0.496191,,0.391680
0.154447,0.041414,,0.574202
0.526195,0.509570,,0.027888
0.951177,0.794882,,0.538995
0.389813,0.734627,,0.259212
0.368644,0.874318,,0.396696
0.861260,0.234784,,0.448161
0.672239,0.706933,,0.269236
0.723226,0.424156,,0.235758
0.036792,0.873550,,0.595064
0.585519,0.690681,,0.208980
0.447834,0.840130,,0.344107
0.451943,0.391753,,0.118436
0.668133,0.676875,,0.244036
0.539297,0.339356,,0.165381
0.067697,0.647636,,0.456818
0.835547,0.222144,,0.435656
0.689051,0.361742,,0.234212
0.731713,0.640227,,0.270841
0.156623,0.121527,,0.511028
0.374855,0.525268,,0.127671
0.995844,0.236115,,0.561691
0.760051,0.668084,,0.309643
0.943048,0.483277,,0.443363
0.092239,0.979840,,0.629694
0.356827,0.677759,,0.228247
0.670521,0.804660,,0.349135
0.517889,0.122464,,0.377960
0.196413,0.186022,,0.436746
0.799339,0.735711,,0.381003
0.525378,0.867035,,0.367912
0.383347,0.360925,,0.181521
0.089179,0.072397,,0.592974
0.722667,0.820892,,0.390580
0.712625,0.879290,,0.434822
0.942419,0.087479,,0.604903
0.404558,0.938263,,0.448535
0.323594,0.164609,,0.378954
0.606347,0.266642,,0.256448
0.647886,0.698586,,0.247602
0.246482,0.004713,,0.556400
0.376345,0.917003,,0.434950
0.809373,0.894234,,0.501131
0.039467,0.005787,,0.675528
0.080256,0.838805,,0.539420
0.741497,0.605634,,0.263589
0.705841,0.124844,,0.427916
0.966559,0.795020,,0.552009
0.197241,0.689226,,0.357029
0.615912,0.909866,,0.425941
0.568516,0.558331,,0.089983
0.997345,0.973074,,0.686405
0.496594,0.320939,,0.179093
0.137684,0.102941,,0.537521
0.587581,0.785570,,0.298698
0.801528,0.834063,,0.450019
0.790283,0.177873,,0.433624
0.751066,0.599656,,0.270121
0.072107,0.790533,,0.517206
0.605443,0.152363,,0.363277
0.629338,0.346940,,0.200389
0.757997,0.335178,,0.306151
0.471784,0.724556,,0.226322
0.130198,0.669025,,0.406599
0.413782,0.746110,,0.260775
0.578891,0.982299,,0.488708
0.304441,0.576236,,0.209894
0.955373,0.801035,,0.545882
0.897176,0.093057,,0.568640
0.903977,0.484757,,0.404264
0.878627,0.705504,,0.430802
0.318820,0.668910,,0.247703
0.883377,0.069886,,0.576173
0.268566,0.955484,,0.510908
